TotalReturn,MinReturn,Time,Entropy,LossAfter,StdReturn,Perplexity,MeanKL,MaxKL,Iteration,ValueLoss,AverageReturn,LossBefore,NofTrajectories,ItrTime,MaxReturn
203.57,2.21,1494.2527549266815,1.30798,10.2451,10.8239583073,3.69868,0.285359,1.7937,130,34.1874,25.44625,10.3064,2048,11.104331254959106,42.27
157.16,11.1,1505.6451478004456,1.32025,5.99103,6.98609332889,3.74437,0.34125,1.96234,131,14.8621,19.645,6.0383,2048,11.384640216827393,28.05
221.29,6.32,1517.5930366516113,1.30766,9.08225,12.3526297175,3.6975,0.331114,1.80717,132,42.0591,27.66125,9.15902,2048,11.94067096710205,41.96
139.58,3.01,1529.3621590137482,1.322,5.2178,10.3247539317,3.75091,0.398404,1.7407,133,14.0465,17.4475,5.26493,2048,11.760690212249756,31.78
119.34,3.4,1540.7544662952423,1.32863,5.93565,6.81899323581,3.77587,0.369349,1.77181,134,13.721,14.9175,6.05329,2048,11.385080099105835,27.44
129.76,7.09,1551.5926644802094,1.32747,5.92953,6.17442102549,3.77151,0.400175,1.51225,135,13.4204,16.22,5.98774,2048,10.831209182739258,27.84
162.6,7.21,1563.1489214897156,1.304,7.65913,8.17345857027,3.68401,0.393871,1.72825,136,16.8961,20.325,7.73248,2048,11.54897665977478,31.62
167.48,2.35,1574.5049538612366,1.32576,8.21661,10.9602189759,3.76505,0.26977,1.67773,137,24.714,20.935,8.28052,2048,11.348869800567627,36.85
167.31,7.15,1585.596895456314,1.32713,9.16977,9.65782187853,3.77022,0.387977,2.53434,138,21.3062,20.91375,9.23323,2048,11.083772420883179,37.12
211.99,6.59,1596.7236852645874,1.3229,8.37059,12.1649747611,3.75429,0.352419,1.90258,139,28.9594,26.49875,8.43226,2048,11.119683265686035,46.29
210.79,6.23,1608.3617358207703,1.31523,10.158,14.443234954,3.72562,0.306592,1.92203,140,37.1962,26.34875,10.2095,2048,11.630612134933472,51.5
227.32,16.71,1620.5932521820068,1.3249,10.9419,13.240621209,3.76182,0.310874,1.66813,141,48.5969,28.415,10.9962,2048,12.224247217178345,56.94
155.59,11.25,1632.6459212303162,1.30918,6.13659,7.94062881247,3.70314,0.444381,2.55991,142,14.6076,19.44875,6.17948,2048,12.045463562011719,36.4
159.1,2.58,1643.4478876590729,1.30203,6.67851,9.41273704881,3.67677,0.343522,1.75143,143,17.7989,19.8875,6.74125,2048,10.794894218444824,31.77
91.09,3.51,1654.8164401054382,1.31106,3.64854,5.20964235217,3.71012,0.369965,1.70678,144,4.91393,11.38625,3.66912,2048,11.361144542694092,18.25
196.02,13.28,1665.7973155975342,1.30547,8.66873,8.0106128823,3.68944,0.320381,1.77533,145,23.3534,24.5025,8.76102,2048,10.973562479019165,41.86
131.49,3.93,1677.6635189056396,1.31401,7.11548,10.2499011428,3.72108,0.384254,2.02041,146,16.6688,16.43625,7.1926,2048,11.85904312133789,37.2
